trial,run,dog,chemical,event,start_time,end_time,cal
2,1,17,Blank,2,55.7,56.2,24
2,1,17,2E1H,1,32.5,33.5,25.9
2,1,17,2E1H,2,41,42.3,25.9
2,1,19,methylbenzoate,1,35.2,37,7.8
2,1,19,2E1H,1,15.2,16.4,12.3
2,1,19,2E1H,2,29.8,30.6,12.3
2,1,20,methylbenzoate,1,48,48.4,15.7
2,1,20,methylbenzoate,2,54.8,55.6,15.7
2,1,20,bromooctane,1,52,52.8,17.5
2,1,20,bromooctane,2,55.4,56.3,17.5
2,1,20,2E1H,1,33,33.5,20.8
2,1,20,2E1H,2,36.9,38,20.8
2,1,1,methylbenzoate,1,51.1,51.7,12.6
2,1,1,methylbenzoate,2,73.3,74.4,12.6
2,1,1,bromooctane,1,61.2,61.7,14.5
2,1,1,2E1H,1,44.4,45.2,18.2
2,1,1,2E1H,2,62,62.4,18.2
2,1,2,methylbenzoate,1,38.1,39.6,65.3
2,1,2,bromooctane,1,82.2,83.5,67
2,1,2,bromooctane,2,85.1,86.3,67
2,1,2,Blank,1,29.1,30,69.2
2,1,2,Blank,2,41.5,43.5,69.2
2,2,1,Ammonia,1,26.7,29,70.5
2,2,1,methylbenzoate,1,17.8,18.3,66.5
2,2,1,methylbenzoate,2,25.3,26.4,66.5
2,2,1,bromooctane,1,30.7,32.4,68
2,2,1,Blank,1,28.6,29.9,69.8
2,2,1,Ammonia,1,17.5,19.5,71.2
2,2,1,Ammonia,2,26.2,26.6,71.2
2,1,6,methylbenzoate,1,51.5,53.2,10.4
2,1,6,methylbenzoate,2,66.5,67.7,10.4
2,1,6,methylbenzoate,3,79.9,81.2,10.4
2,1,6,bromooctane,1,77,77.9,12.2
2,1,6,Blank,1,52.2,53.2,14.2
2,1,6,Blank,2,61,62.2,14.2
2,1,6,2E1H,1,51.3,52,16.1
2,1,6,2E1H,2,54,56.5,16.1
2,1,6,2E1H,3,64.8,65.8,16.1
2,1,9,methylbenzoate,1,38.2,38.8,18.7
2,1,9,methylbenzoate,2,49.4,50.2,18.7
2,1,9,bromooctane,1,48.2,49,20.7
2,1,9,bromooctane,2,50,51.2,20.7
2,1,13,methylbenzoate,1,103.4,105.1,11.2
2,1,13,methylbenzoate,2,135.5,137.5,11.2
2,1,13,bromooctane,1,100.1,102.1,13.2
2,1,13,2E1H,1,113,114.4,17.9
2,1,13,2E1H,2,169.6,171.2,17.9
2,1,13,2E1H,3,188.4,189.3,17.9
2,1,22,bromooctane,1,105.6,106.6,25.8
2,1,22,Blank,1,102.3,104.1,28.4
2,1,22,2E1H,1,81.5,82.1,30.8
2,1,23,methylbenzoate,1,72.8,73.7,13
2,1,23,bromooctane,1,73.8,74.8,15.2
2,1,23,Blank,1,90.4,91.3,17
2,1,23,2E1H,1,96.5,98.3,19.1
2,1,24,methylbenzoate,1,28.3,29.6,9
2,1,24,methylbenzoate,2,38.7,40,9
2,1,24,bromooctane,1,25.7,26.4,11
2,1,24,bromooctane,2,38.5,39.4,11
2,1,24,Blank,1,23.1,24,13.1
2,1,24,Blank,2,37.6,38.3,13.1
2,1,24,Blank,3,40.9,42.2,13.1
2,1,24,Blank,4,49.7,51.2,13.1
2,1,24,2E1H,1,20.4,21,15.1
2,1,24,2E1H,2,36.4,37.5,15.1
2,1,24,2E1H,3,38.1,38.9,15.1
2,1,24,2E1H,4,45,47.5,15.1
2,1,25,methylbenzoate,1,35.5,36,13.9
2,1,25,bromooctane,1,33,33.7,15.9
2,1,25,bromooctane,2,62.7,64.3,15.9
2,1,25,Blank,1,77.1,78.2,17.8
2,1,25,2E1H,1,73.5,75.5,20.2
2,2,2,methylbenzoate,1,56,57.3,36.9
2,2,2,methylbenzoate,2,32,33.3,36.9
2,2,2,bromooctane,1,17.4,18.1,38.8
2,2,2,Blank,1,31,32.6,40.2
2,2,2,bromooctane,2,72.3,73.4,38.8
2,2,2,Ammonia,1,13.6,15.3,41.7
2,2,2,Ammonia,2,18.2,18.8,41.7
2,2,2,Ammonia,3,56.9,58.2,41.7
2,2,6,methylbenzoate,1,73,74.3,14.8
2,2,6,methylbenzoate,2,82.4,84.8,14.8
2,2,6,bromooctane,1,62,63.3,16.5
2,2,6,Blank,1,56.5,58.3,18.3
2,2,6,Ammonia,1,52.1,53.9,20
2,2,6,Ammonia,2,61.5,62.7,20
2,2,9,methylbenzoate,1,47.7,48.5,16.8
2,2,9,methylbenzoate,2,52.3,52.8,16.8
2,2,9,bromooctane,1,47.2,48.7,18.3
2,2,9,Ammonia,1,44,44.5,22
2,2,10,methylbenzoate,1,28,29.4,21.2
2,2,10,methylbenzoate,2,32.9,34,21.2
2,2,10,methylbenzoate,3,35,35.7,21.2
2,2,10,bromooctane,1,34.5,35.5,22.9
2,2,10,Ammonia,1,15,16,26
2,2,11,methylbenzoate,1,48.5,49.5,11
2,2,11,methylbenzoate,2,74.6,76.2,11
2,2,11,bromooctane,1,28.2,29.1,12.6
2,2,11,bromooctane,2,31.2,31.8,12.6
2,2,11,bromooctane,3,62.6,63.8,12.6
2,2,11,Blank,1,19.1,19.8,14.6
2,2,11,Blank,2,25.6,26.3,14.6
2,2,11,Blank,3,29.6,30.6,14.6
2,2,11,Blank,4,37.2,38.1,14.6
2,2,11,Blank,5,55.2,58,14.6
2,2,11,Ammonia,1,36.4,38.1,16.3
2,2,11,Ammonia,2,51.5,52,16.3
2,2,12,methylbenzoate,1,16,16.8,7.7
2,2,12,methylbenzoate,2,32.8,33.6,7.7
2,2,12,methylbenzoate,3,47.7,48.4,7.7
2,2,12,bromooctane,1,29.5,31.5,9.5
2,2,12,bromooctane,2,44.5,46.5,9.5
2,2,12,Ammonia,1,9.4,10.4,13.2
2,2,12,Ammonia,2,40.6,42,13.2
2,2,14,methylbenzoate,1,19.4,20.7,15
2,2,14,bromooctane,1,17,17.6,16.7
2,2,14,Blank,1,14.1,14.7,18.8
2,2,14,Ammonia,1,11.5,12.5,20.9
2,2,14,Ammonia,2,32.3,33.2,20.9
2,2,15,methylbenzoate,1,36.3,37,19.2
2,2,15,methylbenzoate,2,57,57.9,19.2
2,2,15,bromooctane,1,37.8,38.2,21
2,2,15,Blank,1,29.3,29.6,22.7
2,2,15,Blank,2,50.2,51,22.7
2,2,15,Blank,3,55.7,56.7,22.7
2,2,15,Ammonia,1,26.9,27.5,24.2
2,2,15,Ammonia,2,42.8,43.9,24.2
2,2,15,Ammonia,3,49.4,50.9,24.2
2,2,15,Ammonia,4,54.8,56.8,24.2
2,2,16,methylbenzoate,1,40.7,41.8,11.6
2,2,16,methylbenzoate,2,62.2,64.4,11.6
2,2,16,Blank,1,62.2,63.4,15.4
2,2,16,Ammonia,1,61.4,62.9,17.3
2,2,17,methylbenzoate,1,12,12.8,13.2
2,2,17,methylbenzoate,2,21.8,22,13.2
2,2,17,bromooctane,1,64.3,65.5,15
2,2,17,Blank,1,23.8,24.8,17
2,2,17,Ammonia,1,24.6,25.7,18.6
2,2,19,methylbenzoate,1,64.1,64.8,10.5
2,2,19,Blank,1,71.1,72.3,14.7
2,2,19,Ammonia,1,33.7,34.4,16.6
2,2,19,Ammonia,2,55.1,55.7,16.6
2,2,19,Ammonia,3,65.9,66.3,16.6
2,1,9,Blank,1,34.8,35.6,22.4
2,1,9,Blank,2,46,47.1,22.4
2,2,19,bromooctane,1,45.3,46.6,12.5
