"trial","run","dog","chemical","event","start_time","end_time","cal","target","sniff_freq","sniff_duration","sniff_volume","sniff_vfr","sniff_counts","total_volume"
"3","1","15","2E1H",1,15.6,16.5,45.7,TRUE,5.74074074074077,0.1675,204.777581260545,1127.41804591637,4,819.110325042182
"3","1","15","2E1H",2,23.8,24.4,45.7,TRUE,5.32212885154064,0.190000000000001,184.664816659719,883.825930966648,2,369.329633319439
"3","1","15","Blank",1,13.3,14.3,47.3,FALSE,6.01851851851852,0.16,70.0647405667265,401.829999520675,6,420.388443400359
"3","1","15","Blank",2,16.4,17,47.3,FALSE,5.71895424836599,0.18,209.467295791394,1125.33880160215,2,418.934591582788
"3","1","15","Blank",3,21.8,22.4,47.3,FALSE,5.88235294117641,0.173333333333332,101.523852598971,568.517241057205,3,304.571557796913
"3","1","15","methylbenzoate",1,15.4,16.3,48.8,FALSE,5.03367003367006,0.183333333333333,204.897026735424,1055.91357863824,3,614.691080206271
"3","1","15","bromooctane",1,14.2,15,50.3,FALSE,6.61300505050507,0.16,62.2787124316148,363.688658259226,4,249.114849726459
"3","1","15","bromooctane",2,10.1,10.7,50.3,FALSE,4.16666666666669,0.255000000000001,29.2039535749616,117.603382374457,2,58.4079071499231
"3","1","15","bromooctane",3,18,18.8,50.3,FALSE,5.00835421888052,0.19,95.6796296771056,471.985781825828,3,287.038889031317
"3","1","17","2E1H",1,74.1,75,5.7,TRUE,5.89256535947708,0.1675,111.30211233175,670.615906369949,4,445.208449327001
"3","1","17","2E1H",2,95.7,96.7,5.7,TRUE,5.75367647058829,0.185999999999999,222.550063196374,1192.75428817667,5,1112.75031598187
"3","1","17","2E1H",3,114,114.4,5.7,TRUE,8.333333333334,0.179999999999993,692.542055576603,3847.45586431462,1,692.542055576603
"3","1","17","Blank",1,57.7,58.7,7.3,FALSE,5.59063299232738,0.18,120.212308317725,656.955506503892,4,480.849233270899
"3","1","17","Blank",2,70.8,71.7,7.3,FALSE,6.21867167919792,0.177499999999998,129.51924343139,792.872233851237,4,518.076973725562
"3","1","17","methylbenzoate",1,79.7,80.2,8.8,FALSE,6.25000000000013,0.174999999999997,110.589486475542,667.067736719607,2,221.178972951084
"3","1","19","2E1H",1,17.6,18.5,9.5,TRUE,5.13538748832862,0.225000000000001,202.899358118636,642.026674173981,2,405.798716237272
"3","1","20","2E1H",1,18.7,19.6,14.5,TRUE,6.20769140989727,0.17,161.553668796426,871.509683617244,4,646.214675185703
"3","1","20","2E1H",2,22.1,22.7,14.5,TRUE,6.12745098039213,0.16,142.68920913118,891.807557069876,2,285.378418262361
"3","1","19","Blank",1,14.8,16,11.2,FALSE,3.30246913580246,0.254999999999999,426.974580137573,1844.62509146667,2,853.949160275147
"3","1","19","methylbenzoate",1,11.1,12,13.2,FALSE,4.54545454545457,0.173333333333333,209.000028066699,871.665222485681,3,627.000084200097
"3","1","19","methylbenzoate",2,15.7,16.2,13.2,FALSE,5.88235294117653,0.185,182.342423466159,968.660798265038,2,364.684846932319
"3","1","19","bromooctane",1,13.2,13.8,14.7,FALSE,4.95169082125604,0.25,28.7598818942516,119.30324493863,2,57.5197637885032
"3","1","11","2E1H",1,73.7,74.2,5.1,TRUE,6.45833333333327,0.159999999999997,347.243059023624,2084.20676970762,2,694.486118047249
"3","1","11","2E1H",2,93.8,96.5,5.1,TRUE,5.65025731185615,0.178571428571429,920.693724992547,5174.64006762189,14,12889.7121498957
"3","1","11","Blank",1,89.2,90.5,7,FALSE,6.41339869281041,0.160000000000001,241.714009848107,1484.18725537215,7,1691.99806893675
"3","1","11","methylbenzoate",1,85.3,86.6,8.6,FALSE,5.9638577653283,0.16857142857143,243.692733950169,1404.99727780592,7,1705.84913765118
"3","1","11","bromooctane",1,78.5,80,10.5,FALSE,5.65282931354354,0.152857142857144,24.6806568981763,164.686202403021,7,172.764598287234
"3","1","12","2E1H",1,21.8,22.8,19.3,TRUE,7.23557692307696,0.141666666666666,65.9146959224253,459.133338275067,6,395.488175534552
"3","1","12","2E1H",2,38.8,39.6,19.3,TRUE,6.25000000000013,0.25,111.347083431294,469.342029229347,3,334.041250293881
"3","1","12","2E1H",3,58.3,59.1,19.3,TRUE,5.85995781241964,0.1525,65.8746149768999,457.054623319287,4,263.4984599076
"3","1","12","Blank",1,19.8,20.7,21.1,FALSE,6.04395604395602,0.153333333333334,54.6304118992395,348.179960580346,3,163.891235697719
"3","1","12","Blank",2,37.1,38.7,21.1,FALSE,4.14754835807465,0.212857142857142,53.1426910444692,207.621665694591,7,371.998837311284
"3","1","12","Blank",3,57.3,58.4,21.1,FALSE,5.10893246187362,0.213333333333334,150.490230065679,784.796574702688,3,451.470690197037
"3","1","12","methylbenzoate",1,37,38.2,22.9,FALSE,6.70678341266575,0.159999999999999,65.5811842112605,426.488375030293,6,393.487105267563
"3","1","12","bromooctane",1,15.4,16,24.5,FALSE,7.14285714285711,0.15,101.609703098153,650.934170596625,2,203.219406196307
"3","1","12","bromooctane",2,26.3,27.3,24.5,FALSE,6.23875866135929,0.165,149.789087599991,875.246452509836,4,599.156350399966
"3","1","12","bromooctane",3,36.1,36.9,24.5,FALSE,7.23557692307701,0.144000000000001,102.359650032857,675.976655570346,5,511.798250164285
"3","1","17","bromooctane",1,60,61.4,10.5,FALSE,6.17034195594565,0.161250000000001,111.531209652418,701.1979578076,8,892.249677219347
"3","1","17","bromooctane",2,64.2,65.3,10.5,FALSE,5.60795370779895,0.172499999999999,235.629792884167,1363.57039797597,4,942.519171536668
"3","1","20","2E1H",1,18.7,19.6,14.4,TRUE,6.20769140989727,0.17,161.553668796426,871.509683617244,4,646.214675185703
"3","1","20","2E1H",2,22.1,22.8,14.4,TRUE,6.12745098039213,0.156666666666667,156.372288333262,1002.84603079641,3,469.116864999785
"3","1","20","Blank",1,16.1,17.1,16,FALSE,6.42507002801117,0.1675,216.884776477232,1184.04866307887,4,867.539105908929
"3","1","20","Blank",2,21.2,21.8,16,FALSE,7.14285714285711,0.154999999999999,229.763169827301,1373.23439471062,2,459.526339654601
"3","1","20","Blank",3,27.5,28.4,16,FALSE,4.80994152046785,0.172,229.029188417366,1183.80448283819,5,1145.14594208683
"3","1","20","methylbenzoate",1,13.5,14.7,17.7,FALSE,5.39021327829376,0.18,189.690818118668,1054.22128969872,5,948.454090593341
"3","1","20","methylbenzoate",2,25.4,25.9,17.7,FALSE,6.90476190476176,0.16,210.645926589917,1298.57820251008,2,421.291853179834
"3","1","20","bromooctane",1,11.4,12.1,19.2,FALSE,3.8074712643678,0.25,278.086889977313,1137.08118542927,2,556.173779954626
"3","1","20","bromooctane",2,23,23.5,19.2,FALSE,5.00000000000002,0.289999999999999,912.533085752289,3146.66581293894,1,912.533085752289
"3","1","21","2E1H",1,48.3,49.7,6.7,TRUE,5.54274913626775,0.178571428571429,347.853575880302,1917.22868717665,7,2434.97503116211
"3","1","21","Blank",1,44.1,44.4,8.3,FALSE,7.14285714285711,NA,NA,NA,1,NA
"3","1","21","methylbenzoate",1,17.5,17.9,9.6,FALSE,5.55555555555556,0.16,39.0623356085353,244.139597553345,1,39.0623356085353
"3","1","21","bromooctane",1,16.8,17.4,11,FALSE,4.63157894736845,0.290000000000003,2386.17428400104,8228.1871862104,1,2386.17428400104
"3","1","21","bromooctane",2,18.1,19.1,11,FALSE,3.67323481116586,0.295,474.614461041321,1473.35967491073,2,949.228922082643
"3","1","21","bromooctane",3,56.3,57.2,11,FALSE,4.73057644110275,0.196666666666668,200.885239970211,1019.23986810245,3,602.655719910632
"3","1","22","2E1H",1,193.5,194.9,10,TRUE,7.29520479520447,0.128888888888892,31.3789319642865,226.509316856474,9,282.410387678579
"3","1","23","2E1H",1,84.5,85.7,5.4,TRUE,6.66300366300377,0.15,58.6733291589614,425.095879966891,5,293.366645794807
"3","1","23","2E1H",2,94,94.3,5.4,TRUE,NA,NA,74.3165661640967,412.869812022744,1,74.3165661640967
"3","1","23","Blank",1,96.9,98,7.1,FALSE,6.19358854652977,0.174000000000001,33.2450815560729,179.333064285927,5,166.225407780365
"3","1","23","Blank",2,126.5,128.2,7.1,FALSE,5.7606392497667,0.152999999999999,31.8813519039145,201.02222575758,10,318.813519039145
"3","1","23","methylbenzoate",1,63.8,65,8.9,FALSE,5.97868870895182,0.159999999999999,61.9989729353128,388.285564896737,6,371.993837611877
"3","1","23","methylbenzoate",2,99,99.3,8.9,FALSE,NA,NA,730.030516215915,4562.69072634916,1,730.030516215915
"3","1","23","bromooctane",1,68.7,69.3,10.6,FALSE,NA,NA,291.647762808967,1426.11541893919,2,583.295525617934
"3","1","24","2E1H",1,22,22.7,15.5,TRUE,7.63347763347761,0.14,65.2132548621852,463.414280654842,4,260.853019448741
"3","1","24","2E1H",2,24.8,25.3,15.5,TRUE,6.51260504201676,0.150000000000002,15.249123088417,101.660820589445,1,15.249123088417
"3","1","24","Blank",1,19,20.4,17.1,FALSE,5.7565789473684,0.1475,44.248055417123,251.295989899229,8,353.984443336984
"3","1","24","Blank",2,23.6,24.3,17.1,FALSE,6.20300751879701,0.157500000000001,101.261886112573,611.083708812699,4,405.047544450291
"3","1","24","Blank",3,28.6,29.4,17.1,FALSE,5.85688820982938,0.165,153.382589746374,837.160083676018,4,613.530358985495
"3","1","24","Blank",4,34.1,34.6,17.1,FALSE,7.17948717948714,0.146666666666668,172.712946276158,978.829872606421,3,518.138838828473
"3","1","24","methylbenzoate",1,17.8,18.3,18.6,FALSE,6.45833333333327,0.154999999999998,116.719243774111,779.950117396961,2,233.438487548221
"3","1","24","methylbenzoate",2,22.5,23.2,18.6,FALSE,5.50724637681166,0.145,107.698345820051,721.858003858543,4,430.793383280202
"3","1","24","methylbenzoate",3,33.3,34,18.6,FALSE,5.67507002801126,0.19,460.684009849451,2013.07698981902,3,1382.05202954835
"3","1","24","bromooctane",1,15.8,16.2,20.1,FALSE,6.66666666666665,0.17,476.022374602873,2800.13161531102,1,476.022374602873
"3","1","24","bromooctane",2,21.7,22.3,20.1,FALSE,6.45833333333329,0.156666666666666,75.9168296217531,471.841570274406,3,227.750488865259
"3","1","24","bromooctane",3,24.8,25.3,20.1,FALSE,7.67507002801113,0.16,203.343003726932,1270.89377329334,2,406.686007453863
"3","1","24","bromooctane",4,32.7,33.5,20.1,FALSE,7.54201680672262,0.142,140.266071245808,925.413554277732,5,701.330356229041
"3","2","11","bromooctane",1,29.7,31.2,7.5,FALSE,6.0585016835017,0.174285714285714,207.44474136931,1148.58403384151,7,1452.11318958517
"3","2","11","bromooctane",2,33,33.8,7.5,FALSE,5.63141923436043,0.176666666666667,178.101681009325,1168.18530094405,3,534.305043027974
"3","2","11","methylbenzoate",1,23.6,24.4,9,FALSE,6.57219973009449,0.155,240.814334066409,1369.14453994945,4,963.257336265634
"3","2","11","methylbenzoate",2,26.5,27.5,9,FALSE,6.17034313725492,0.174,221.322794514066,1272.08471164937,5,1106.61397257033
"3","2","11","Blank",1,41.3,42.2,10.5,FALSE,5.22685389945454,0.19,591.16921172373,3073.09877011245,4,2364.67684689492
"3","2","11","Blank",2,43.5,44.9,10.5,FALSE,5.38359788359786,0.188571428571429,2272.75545253244,10884.0437842724,7,15909.2881677271
"3","2","11","Ammonia",1,32.4,34.2,12.1,TRUE,6.01586687306503,0.175555555555555,1471.06332978214,8221.80607349417,9,13239.5699680393
"3","2","12","bromooctane",1,16.7,17.4,8.2,FALSE,6.82539682539681,0.16,133.796417152792,773.493005698082,3,401.389251458377
"3","2","12","methylbenzoate",1,14.4,15.1,10,FALSE,6.7969067969068,0.1425,83.4375332210552,602.014289599489,4,333.750132884221
"3","2","12","Ammonia",1,10,10.7,13,TRUE,7.14285714285716,0.1475,79.116563858281,451.623056478274,4,316.466255433124
"3","2","14","bromooctane",1,15.9,16.4,6.5,FALSE,4.54545454545457,0.170000000000001,30.2441749172425,375.122679464619,2,60.488349834485
"3","2","14","methylbenzoate",1,23.5,24.3,7.8,FALSE,6.31033182503768,0.156666666666667,589.432561385105,3159.99716683928,3,1768.29768415532
"3","2","14","Blank",1,11.9,12.6,9.4,FALSE,5.84967320261437,0.176666666666667,365.439705206942,1849.23341043463,3,1096.31911562083
"3","2","14","Blank",2,13.9,14.4,9.4,FALSE,6.24999999999999,0.155000000000001,255.610021753442,1508.84732941516,2,511.220043506884
